CODGEO;DEP;LIBGEO;Zonage en vigueur depuis le 5 septembre 2025;Reclassement 5 septembre 2025
02015;02;Ancienville;C;Non
02016;02;Andelain;C;Non
02017;02;Anguilcourt-le-Sart;C;Non
02018;02;Anizy-le-Grand;C;Non
02019;02;Annois;C;Non
02020;02;Any-Martin-Rieux;C;Non
02021;02;Archon;C;Non
02022;02;Arcy-Sainte-Restitue;C;Non
02023;02;Armentières-sur-Ourcq;C;Non
02024;02;Arrancy;C;Non
02025;02;Artemps;C;Non
02027;02;Assis-sur-Serre;C;Non
02028;02;Athies-sous-Laon;B2;Non
02029;02;Attilly;C;Non
02030;02;Aubencheul-aux-Bois;C;Non
02031;02;Aubenton;C;Non
02032;02;Aubigny-aux-Kaisnes;C;Non
02033;02;Aubigny-en-Laonnois;C;Non
02034;02;Audignicourt;C;Non
02035;02;Audigny;C;Non
02036;02;Augy;C;Non
02037;02;Aulnois-sous-Laon;C;Non
02038;02;Les Autels;C;Non
02039;02;Autremencourt;C;Non
02040;02;Autreppes;C;Non
02041;02;Autreville;C;Non
02042;02;Azy-sur-Marne;C;Non
02043;02;Bagneux;C;Non
02044;02;Bancigny;C;Non
02046;02;Barenton-Bugny;C;Non
02047;02;Barenton-Cel;C;Non
02048;02;Barenton-sur-Serre;C;Non
02049;02;Barisis-aux-Bois;C;Non
02050;02;Barzy-en-Thiérache;C;Non
02051;02;Barzy-sur-Marne;C;Non
02052;02;Bassoles-Aulers;C;Non
02053;02;Vallées en Champagne;C;Non
02054;02;Bazoches-et-Saint-Thibaut;C;Non
02055;02;Beaumé;C;Non
02056;02;Beaumont-en-Beine;C;Non
02057;02;Beaurevoir;C;Non
02058;02;Beaurieux;C;Non
02059;02;Beautor;C;Non
02060;02;Beauvois-en-Vermandois;C;Non
02061;02;Becquigny;C;Non
02062;02;Belleau;C;Non
02063;02;Bellenglise;C;Non
02064;02;Belleu;B2;Non
02065;02;Bellicourt;C;Non
02066;02;Benay;C;Non
02067;02;Bergues-sur-Sambre;C;Non
02068;02;Berlancourt;C;Non
02069;02;Berlise;C;Non
02070;02;Bernot;C;Non
02071;02;Berny-Rivière;C;Non
02072;02;Berrieux;C;Non
02073;02;Berry-au-Bac;C;Non
02074;02;Bertaucourt-Epourdon;C;Non
02075;02;Berthenicourt;C;Non
02076;02;Bertricourt;C;Non
02078;02;Besmé;C;Non
02079;02;Besmont;C;Non
02080;02;Besny-et-Loizy;C;Non
02081;02;Béthancourt-en-Vaux;C;Non
02082;02;Beugneux;C;Non
02083;02;Beuvardes;C;Non
02084;02;Bézu-le-Guéry;B2;Non
02085;02;Bézu-Saint-Germain;C;Non
02086;02;Bichancourt;C;Non
02087;02;Bieuxy;C;Non
02088;02;Bièvres;C;Non
02089;02;Billy-sur-Aisne;C;Non
02090;02;Billy-sur-Ourcq;C;Non
02091;02;Blanzy-lès-Fismes;C;Non
02093;02;Blérancourt;C;Non
02094;02;Blesmes;B2;Non
02095;02;Bohain-en-Vermandois;C;Non
02096;02;Bois-lès-Pargny;C;Non
02097;02;Boncourt;C;Non
02098;02;Bonneil;C;Non
02099;02;Bonnesvalyn;C;Non
02100;02;Bony;C;Non
02101;02;Bosmont-sur-Serre;C;Non
02102;02;Bouconville-Vauclair;C;Non
02103;02;Boué;C;Non
02104;02;Bouffignereux;C;Non
02105;02;Bouresches;C;Non
02106;02;Bourg-et-Comin;C;Non
02107;02;Bourguignon-sous-Coucy;C;Non
02108;02;Bourguignon-sous-Montbavin;C;Non
02109;02;La Bouteille;C;Non
02110;02;Braine;C;Non
02111;02;Brancourt-en-Laonnois;C;Non
02112;02;Brancourt-le-Grand;C;Non
02114;02;Brasles;B2;Non
02115;02;Braye-en-Laonnois;C;Non
02116;02;Braye-en-Thiérache;C;Non
02117;02;Bray-Saint-Christophe;C;Non
02118;02;Braye;C;Non
02119;02;Brécy;C;Non
02120;02;Brenelle;C;Non
02121;02;Breny;C;Non
02122;02;Brie;C;Non
02123;02;Brissay-Choigny;C;Non
02124;02;Brissy-Hamégicourt;C;Non
02125;02;Brumetz;B2;Non
02126;02;Brunehamel;C;Non
02127;02;Bruyères-sur-Fère;C;Non
02128;02;Bruyères-et-Montbérault;C;Non
02129;02;Bruys;C;Non
02130;02;Bucilly;C;Non
02131;02;Bucy-le-Long;C;Non
02132;02;Bucy-lès-Cerny;C;Non
02133;02;Bucy-lès-Pierrepont;C;Non
02134;02;Buire;C;Non
02135;02;Buironfosse;C;Non
02136;02;Burelles;C;Non
02137;02;Bussiares;B2;Non
02138;02;Buzancy;C;Non
02139;02;Caillouël-Crépigny;C;Non
02140;02;Camelin;C;Non
02141;02;La Capelle;C;Non
02142;02;Castres;B2;Non
02143;02;Le Catelet;C;Non
02144;02;Caulaincourt;C;Non
02145;02;Caumont;C;Non
02146;02;Celles-lès-Condé;C;Non
02148;02;Celles-sur-Aisne;C;Non
02149;02;Cerizy;C;Non
02150;02;Cerny-en-Laonnois;C;Non
02151;02;Cerny-lès-Bucy;C;Non
02152;02;Cerseuil;C;Non
02153;02;Cessières-Suzy;C;Non
02154;02;Chacrise;C;Non
02155;02;Chaillevois;C;Non
02156;02;Chalandry;C;Non
02157;02;Chambry;B2;Non
02158;02;Chamouille;C;Non
02159;02;Champs;C;Non
02160;02;Chaourse;C;Non
02162;02;La Chapelle-sur-Chézy;C;Non
02163;02;Charly-sur-Marne;B2;Reclassement
02164;02;Le Charmel;C;Non
02165;02;Charmes;C;Non
02166;02;Chartèves;C;Non
02167;02;Chassemy;C;Non
02168;02;Château-Thierry;B1;Non
02169;02;Châtillon-lès-Sons;C;Non
02170;02;Châtillon-sur-Oise;C;Non
02171;02;Chaudardes;C;Non
02172;02;Chaudun;C;Non
02173;02;Chauny;C;Non
02174;02;Chavignon;C;Non
02175;02;Chavigny;C;Non
02176;02;Chavonne;C;Non
02177;02;Chérêt;C;Non
02178;02;Chermizy-Ailles;C;Non
02179;02;Chéry-Chartreuve;C;Non
02180;02;Chéry-lès-Pouilly;C;Non
02181;02;Chéry-lès-Rozoy;C;Non
02182;02;Chevennes;C;Non
02183;02;Chevregny;C;Non
02184;02;Chevresis-Monceau;C;Non
02185;02;Chézy-en-Orxois;B2;Non
02186;02;Chézy-sur-Marne;C;Non
02187;02;Chierry;B2;Non
02188;02;Chigny;C;Non
02189;02;Chivres-en-Laonnois;C;Non
02190;02;Chivres-Val;C;Non
02191;02;Chivy-lès-Étouvelles;C;Non
02192;02;Chouy;C;Non
02193;02;Cierges;C;Non
02194;02;Cilly;C;Non
02195;02;Ciry-Salsogne;C;Non
02196;02;Clacy-et-Thierret;C;Non
02197;02;Clairfontaine;C;Non
02198;02;Clamecy;C;Non
02199;02;Clastres;C;Non
02200;02;Clermont-les-Fermes;C;Non
02201;02;Cœuvres-et-Valsery;C;Non
02203;02;Coincy;C;Non
02204;02;Coingt;C;Non
02205;02;Colligis-Crandelain;C;Non
02206;02;Colonfay;C;Non
02207;02;Commenchon;C;Non
02208;02;Concevreux;C;Non
02209;02;Condé-en-Brie;C;Non
02210;02;Condé-sur-Aisne;C;Non
02211;02;Condé-sur-Suippe;C;Non
02212;02;Condren;C;Non
02213;02;Connigis;C;Non
02214;02;Contescourt;B2;Non
02215;02;Corbeny;C;Non
02216;02;Corcy;B2;Non
02217;02;Coucy-le-Château-Auffrique;C;Non
02218;02;Coucy-lès-Eppes;C;Non
02219;02;Coucy-la-Ville;C;Non
02220;02;Coulonges-Cohan;C;Non
02221;02;Coupru;B2;Non
02222;02;Courbes;C;Non
02223;02;Courboin;C;Non
02224;02;Courcelles-sur-Vesle;C;Non
02225;02;Courchamps;B2;Non
02226;02;Courmelles;B2;Non
02227;02;Courmont;C;Non
02228;02;Courtemont-Varennes;C;Non
02229;02;Courtrizy-et-Fussigny;C;Non
02230;02;Couvrelles;C;Non
02231;02;Couvron-et-Aumencourt;C;Non
02232;02;Coyolles;B2;Non
02233;02;Cramaille;C;Non
02234;02;Craonne;C;Non
02235;02;Craonnelle;C;Non
02236;02;Crécy-au-Mont;C;Non
02237;02;Crécy-sur-Serre;C;Non
02238;02;Crépy;C;Non
02239;02;Crézancy;C;Non
02240;02;Croix-Fonsomme;C;Non
02241;02;La Croix-sur-Ourcq;C;Non
02242;02;Crouttes-sur-Marne;B2;Non
02243;02;Crouy;B2;Non
02244;02;Crupilly;C;Non
02245;02;Cuffies;B2;Non
02246;02;Cugny;C;Non
02248;02;Cuirieux;C;Non
02249;02;Cuiry-Housse;C;Non
02250;02;Cuiry-lès-Chaudardes;C;Non
02251;02;Cuiry-lès-Iviers;C;Non
02252;02;Cuissy-et-Geny;C;Non
